t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
42.0,27.024,-0.248,-5.017,-0.017,4.685,2,14,0,0.227,0,0,7.479,25.824,0.075,-4.831,0.169,4.609,2,14,0,0.209,0,0,8.275,1.256,8.824,16,0,0.227,20.000,0.000,0.000,0.000
43.0,31.604,-0.202,-4.949,0.051,4.440,2,14,0,0.200,0,0,12.024,30.370,0.144,-4.937,0.063,4.368,2,14,0,0.201,0,0,12.791,1.283,13.370,17,0,0.201,20.000,0.000,0.000,0.000
44.0,35.817,-0.181,-4.964,0.036,4.141,2,14,0,0.214,0,0,16.272,34.515,0.127,-4.896,0.104,4.060,2,14,0,0.267,0,0,16.977,1.340,17.515,18,0,0.267,20.000,0.000,0.000,0.000
45.0,39.731,-0.184,-5.013,-0.013,3.804,2,14,0,0.211,0,0,20.187,38.328,0.118,-4.857,0.143,3.711,2,14,0,0.206,0,0,20.797,1.444,21.328,19,0,0.211,20.000,0.000,0.000,0.000
46.0,45.309,-0.298,-5.068,-0.068,3.313,2,14,0,0.298,0,0,25.764,43.665,-0.048,-4.875,0.125,3.202,2,14,0,0.468,0,0,26.140,1.674,26.665,19,0,0.468,20.000,0.000,0.000,0.000
47.0,48.392,-0.299,-4.978,0.022,2.920,2,14,0,0.230,0,0,28.824,46.715,-0.040,-4.860,0.140,2.830,2,14,0,0.227,0,0,29.173,1.701,29.715,19,0,0.230,20.000,0.000,0.000,0.000
48.0,51.152,-0.233,-5.004,-0.004,2.525,2,14,0,0.235,0,0,31.587,49.327,-0.022,-4.884,0.116,2.419,2,14,0,0.228,0,0,31.795,1.841,32.327,19,0,0.235,20.000,0.000,0.000,0.000
49.0,53.458,-0.220,-5.021,-0.021,2.102,2,14,0,0.239,0,0,33.895,51.523,0.000,-4.924,0.076,1.988,2,14,0,0.226,0,0,34.001,1.949,34.523,19,0,0.239,20.000,0.000,0.000,0.000
50.0,55.379,-0.231,-4.965,0.035,1.663,2,14,0,0.230,0,0,35.821,53.250,0.001,-4.933,0.067,1.530,2,14,0,0.234,0,0,35.739,2.142,36.250,19,0,0.234,20.000,0.000,0.000,0.000
51.0,56.751,-0.222,-4.939,0.061,1.180,2,14,0,0.228,0,0,37.198,54.590,0.011,-4.877,0.123,1.076,2,14,0,0.224,0,0,37.089,2.175,37.590,19,0,0.228,20.000,0.000,0.000,0.000
