t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
80.0,-4.595,-10.520,-4.948,0.052,1.233,2,14,0,0.211,0,0,1.914,nan,1.983,0,0,0.211,-4.812,-8.549,1.282,0.778
81.0,-3.439,-10.082,-5.050,-0.050,1.371,2,14,0,0.233,0,0,2.348,nan,2.409,0,0,0.233,-3.593,-7.678,1.152,0.961
82.0,-2.332,-9.232,-5.017,-0.017,1.569,2,14,0,0.303,0,0,2.554,nan,2.605,0,0,0.303,-2.517,-6.634,0.995,1.122
83.0,-1.312,-7.934,-5.049,-0.049,1.812,2,14,0,0.253,0,0,2.454,nan,2.510,0,0,0.253,-1.610,-5.441,0.816,1.258
84.0,-0.459,-6.220,-5.024,-0.024,2.096,2,14,0,0.277,0,0,2.069,nan,2.138,0,0,0.277,-0.891,-4.127,0.619,1.366
85.0,0.205,-4.115,-5.013,-0.013,2.433,2,14,0,0.153,0,0,1.408,nan,1.513,0,0,0.153,-0.377,-2.719,0.408,1.443
86.0,0.629,-1.620,-4.957,0.043,2.574,2,14,0,0.171,0,0,0.569,nan,0.798,0,0,0.171,-0.078,-1.250,0.188,1.488
87.0,0.722,0.801,-4.989,0.011,2.394,2,14,0,0.176,0,0,0.748,nan,0.913,0,0,0.176,-0.003,0.246,-0.037,1.500
88.0,0.594,3.017,-5.035,-0.035,2.193,2,14,0,0.220,0,0,1.415,nan,1.481,0,0,0.220,-0.152,1.737,-0.261,1.477
89.0,0.240,4.987,-5.023,-0.023,2.003,2,14,0,0.246,0,0,1.902,nan,1.952,0,0,0.246,-0.522,3.190,-0.478,1.422
90.0,-0.373,6.734,-5.019,-0.019,1.823,2,14,0,0.217,0,0,2.255,nan,2.285,0,0,0.217,-1.105,4.570,-0.686,1.334
91.0,-1.259,8.162,-5.021,-0.021,1.669,2,14,0,0.224,0,0,2.388,nan,2.399,0,0,0.224,-1.888,5.848,-0.877,1.217
92.0,-2.262,9.289,-4.964,0.036,1.535,2,14,0,0.269,0,0,2.370,nan,2.370,0,0,0.269,-2.853,6.995,-1.049,1.072
93.0,-3.427,10.037,-4.970,0.030,1.503,2,14,0,0.188,0,0,2.132,nan,2.126,0,0,0.188,-3.979,7.984,-1.198,0.903
94.0,-4.853,10.458,-4.976,0.024,1.540,2,14,0,0.225,0,0,1.729,nan,1.708,0,0,0.225,-5.239,8.794,-1.319,0.714
95.0,-6.391,10.500,-5.003,-0.003,1.614,2,14,0,0.146,0,0,1.158,nan,1.114,0,0,0.146,-6.607,9.407,-1.411,0.509
96.0,-8.012,10.206,-5.027,-0.027,1.655,2,14,0,0.142,0,0,0.503,nan,0.399,0,0,0.142,-8.051,9.808,-1.471,0.292
97.0,-9.478,9.824,-5.022,-0.022,1.587,2,14,0,0.141,0,0,0.205,nan,0.176,0,0,0.141,-9.538,9.989,-1.498,0.069
98.0,-10.988,9.546,-4.978,0.022,1.528,2,14,0,0.144,0,0,0.378,nan,0.403,0,0,0.144,-11.036,9.946,-1.492,-0.155
99.0,-12.534,9.375,-5.000,0.000,1.484,2,14,0,0.147,0,0,0.356,nan,0.306,0,0,0.147,-12.511,9.680,-1.452,-0.377
100.0,-13.989,9.200,-5.023,-0.023,1.422,2,14,0,0.142,0,0,0.296,nan,0.060,0,0,0.142,-13.929,9.196,-1.379,-0.589
101.0,-15.434,8.826,-4.987,0.013,1.393,2,14,0,0.177,0,0,0.563,nan,0.365,0,0,0.177,-15.260,8.505,-1.276,-0.789
102.0,-16.540,8.124,-4.909,0.091,1.418,2,14,0,0.182,0,0,0.653,nan,0.505,0,0,0.182,-16.471,7.624,-1.144,-0.971
103.0,-17.468,7.093,-4.976,0.024,1.569,2,14,0,0.150,0,0,0.619,nan,0.526,0,0,0.150,-17.538,6.571,-0.986,-1.131
104.0,-18.326,5.726,-5.024,-0.024,1.739,2,14,0,0.152,0,0,0.451,nan,0.372,0,0,0.152,-18.435,5.371,-0.806,-1.265
105.0,-19.012,4.147,-4.986,0.014,1.816,2,14,0,0.136,0,0,0.218,nan,0.164,0,0,0.136,-19.143,4.050,-0.607,-1.371
106.0,-19.550,2.452,-4.999,0.001,1.790,2,14,0,0.153,0,0,0.176,nan,0.209,0,0,0.153,-19.646,2.638,-0.396,-1.447
