t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
105.0,19.236,-0.415,-4.996,0.004,0.032,2,14,0,0.154,0,0,0.074,16.752,0.401,-6.530,-1.530,0.055,2,14,0,0.175,0,0,0.066,3.032,0.869,0,0,0.175,20.000,0.000,0.000,0.000
106.0,19.292,-0.428,-4.987,0.013,0.030,2,14,0,0.168,0,0,0.121,16.662,0.345,-6.523,-1.523,0.041,2,14,0,0.173,0,0,0.105,3.142,0.828,0,0,0.173,20.000,0.000,0.000,0.000
107.0,19.282,-0.318,-4.992,0.008,0.077,2,14,0,0.175,0,0,0.087,16.657,0.320,-6.598,-1.598,0.036,2,14,0,0.147,0,0,0.113,3.143,0.785,0,0,0.175,20.000,0.000,0.000,0.000
108.0,19.168,-0.248,-5.019,-0.019,0.068,2,14,0,0.148,0,0,0.105,16.723,0.315,-6.615,-1.615,0.058,2,14,0,0.147,0,0,0.051,2.974,0.868,0,0,0.148,20.000,0.000,0.000,0.000
109.0,19.085,-0.261,-4.969,0.031,0.038,2,14,0,0.180,0,0,0.146,16.831,0.252,-6.588,-1.588,0.062,2,14,0,0.337,0,0,0.104,2.822,0.952,0,0,0.337,20.000,0.000,0.000,0.000
110.0,19.122,-0.317,-4.982,0.018,0.056,2,14,0,0.145,0,0,0.086,16.876,0.244,-6.532,-1.532,0.032,2,14,0,0.154,0,0,0.143,2.786,0.934,0,0,0.154,20.000,0.000,0.000,0.000
111.0,19.149,-0.353,-5.063,-0.063,0.071,2,14,0,0.289,0,0,0.055,16.874,0.320,-6.537,-1.537,0.070,2,14,0,0.177,0,0,0.108,2.794,0.921,0,0,0.289,20.000,0.000,0.000,0.000
112.0,19.209,-0.410,-4.960,0.040,0.059,2,14,0,0.288,0,0,0.062,16.764,0.371,-6.564,-1.564,0.083,2,14,0,0.178,0,0,0.034,3.027,0.891,0,0,0.288,20.000,0.000,0.000,0.000
113.0,19.322,-0.478,-5.032,-0.032,0.035,2,14,0,0.488,0,0,0.177,16.762,0.423,-6.559,-1.559,0.037,2,14,0,0.149,0,0,0.086,3.114,0.829,0,0,0.488,20.000,0.000,0.000,0.000
114.0,19.373,-0.452,-5.022,-0.022,0.066,2,14,0,0.172,0,0,0.203,16.764,0.455,-6.565,-1.565,0.027,2,14,0,0.176,0,0,0.119,3.163,0.773,0,0,0.176,20.000,0.000,0.000,0.000
115.0,19.299,-0.371,-5.015,-0.015,0.115,2,14,0,0.376,0,0,0.101,16.707,0.392,-6.564,-1.564,0.056,2,14,0,0.174,0,0,0.082,3.115,0.794,0,0,0.376,20.000,0.000,0.000,0.000
116.0,19.214,-0.226,-5.022,-0.022,0.118,2,14,0,0.175,0,0,0.121,16.691,0.331,-6.548,-1.548,0.051,2,14,0,0.151,0,0,0.077,3.001,0.818,0,0,0.175,20.000,0.000,0.000,0.000
117.0,19.056,-0.180,-5.016,-0.016,0.073,2,14,0,0.174,0,0,0.221,16.666,0.304,-6.588,-1.588,0.054,2,14,0,0.152,0,0,0.108,2.902,0.961,0,0,0.174,20.000,0.000,0.000,0.000
118.0,19.002,-0.268,-4.989,0.011,0.076,2,14,0,0.176,0,0,0.215,16.688,0.310,-6.581,-1.581,0.067,2,14,0,0.271,0,0,0.084,2.868,1.033,0,0,0.271,20.000,0.000,0.000,0.000
119.0,19.028,-0.375,-4.962,0.038,0.117,2,14,0,0.152,0,0,0.176,16.795,0.289,-6.566,-1.566,0.073,2,14,0,0.172,0,0,0.055,2.828,1.041,0,0,0.172,20.000,0.000,0.000,0.000
120.0,19.138,-0.406,-4.956,0.044,0.123,2,14,0,0.176,0,0,0.086,16.881,0.265,-6.609,-1.609,0.050,2,14,0,0.173,0,0,0.133,2.877,0.953,0,0,0.176,20.000,0.000,0.000,0.000
121.0,19.247,-0.475,-4.982,0.018,0.110,2,14,0,0.176,0,0,0.135,16.920,0.335,-6.537,-1.537,0.050,2,14,0,0.173,0,0,0.152,2.914,0.891,0,0,0.176,20.000,0.000,0.000,0.000
122.0,19.360,-0.429,-5.066,-0.066,0.080,2,14,0,0.186,0,0,0.177,16.836,0.336,-6.534,-1.534,0.081,2,14,0,0.175,0,0,0.068,3.019,0.771,0,0,0.186,20.000,0.000,0.000,0.000
